,Year,NEWFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,1.44,1.44,1.44
1,2000,-20.9,-15.31,-30.33,-5.59,9.43,1.35,30.0,6.0
2,2001,-3.96,-19.73,-3.83,15.77,-0.13,1.29,40.0,53.0
3,2002,-4.62,-14.95,-6.05,10.33,1.44,1.34,32.0,38.0
4,2003,43.36,40.83,55.19,2.53,-11.83,1.31,1.31,88.0
5,2004,20.79,20.91,23.54,-0.11,-2.75,1.22,1.22,65.0
6,2005,22.2,16.62,31.54,5.58,-9.35,1.12,26.0,88.0
7,2006,33.42,26.65,32.06,6.77,1.37,1.0,30.0,37.0
8,2007,32.85,16.65,36.68,16.2,-3.83,0.96,31.0,71.0
9,2008,-46.32,-45.53,-54.44,-0.79,8.12,0.95,35.0,5.0
10,2009,52.21,41.45,73.81,10.76,-21.61,1.17,36.0,91.0
11,2010,17.32,11.15,19.26,6.17,-1.94,1.04,20.0,67.0
12,2011,-14.13,-13.71,-19.86,-0.42,5.72,1.02,25.0,10.0
13,2012,19.71,16.83,18.15,2.88,1.57,1.07,25.0,38.0
14,2013,10.01,15.29,-0.14,-5.28,10.15,1.06,36.0,10.0
15,YTD,0.92,-0.27,1.96,1.19,-1.04,-1.04,-1.04,64.0
