,Year,NINDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.65,21.04,20.16,-0.39,0.5,0.5,4.0,41.0
1,2000,-9.37,-9.1,-6.31,-0.27,-3.06,0.35,7.0,60.0
2,2001,-12.2,-11.89,-13.5,-0.31,1.31,1.31,54.0,42.0
3,2002,-22.39,-22.1,-22.25,-0.29,-0.14,0.35,7.0,48.0
4,2003,28.28,28.68,27.05,-0.41,1.23,0.35,6.0,32.0
5,2004,10.73,10.88,10.02,-0.15,0.71,0.26,0.26,36.0
6,2005,4.82,4.91,5.88,-0.1,-1.06,0.14,4.0,58.0
7,2006,15.65,15.79,14.17,-0.14,1.49,0.14,12.0,24.0
8,2007,5.37,5.49,6.16,-0.12,-0.79,0.14,7.0,51.0
9,2008,-37.08,-37.0,-37.79,-0.08,0.71,0.14,6.0,40.0
10,2009,26.41,26.46,28.17,-0.05,-1.76,0.14,5.0,54.0
11,2010,14.88,15.06,14.01,-0.18,0.88,0.14,7.0,32.0
12,2011,1.98,2.11,-1.27,-0.14,3.25,0.14,2.0,18.0
13,2012,15.78,16.0,14.96,-0.23,0.82,0.16,6.0,39.0
14,2013,32.11,32.39,31.5,-0.28,0.61,0.19,7.0,46.0
15,YTD,13.76,13.98,11.28,-0.21,2.48,0.2,3.0,20.0
