,Year,NIVLX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,52.43,30.63,30.02,21.8,22.41,22.41,44.0,5.0
1,2000,2.94,-15.31,-6.76,18.25,9.69,1.49,12.0,9.0
2,2001,-11.99,-19.73,-15.98,7.74,3.98,1.38,14.0,24.0
3,2002,-17.8,-14.95,-12.37,-2.85,-5.43,1.44,19.0,88.0
4,2003,50.45,40.83,39.07,9.62,11.38,1.42,1.42,4.0
5,2004,24.17,20.91,21.99,3.26,2.18,1.36,1.36,30.0
6,2005,10.16,16.62,13.19,-6.46,-3.03,1.33,1.33,82.0
7,2006,28.26,26.65,25.98,1.61,2.28,1.27,1.27,31.0
8,2007,6.72,16.65,9.01,-9.93,-2.29,1.3,19.0,72.0
9,2008,-35.62,-45.53,-42.41,9.9,6.79,1.32,24.0,11.0
10,2009,22.3,41.45,30.33,-19.15,-8.03,1.38,1.38,80.0
11,2010,2.43,11.15,7.48,-8.72,-5.05,1.42,22.0,94.0
12,2011,-10.9,-13.71,-12.77,2.8,1.86,1.48,7.0,22.0
13,2012,10.01,16.83,16.21,-6.82,-6.2,1.41,16.0,92.0
14,2013,26.42,15.29,20.81,11.13,5.61,1.43,13.0,11.0
15,YTD,-4.22,-0.27,-2.55,-3.95,-1.66,1.43,100.0,74.0
