,Year,NLGAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,6.3,13.49,5.85,-7.2,0.45,0.45,107.0,40.0
1,2000,5.62,1.68,4.28,3.95,1.35,0.5,96.0,30.0
2,2001,2.38,-2.46,-0.39,4.85,2.77,0.5,35.0,21.0
3,2002,-3.68,-6.69,-3.11,3.02,-0.56,0.5,37.0,53.0
4,2003,14.94,22.48,12.34,-7.53,2.6,0.5,34.0,33.0
5,2004,6.38,11.48,5.46,-5.1,0.92,0.5,0.5,42.0
6,2005,4.16,7.04,2.97,-2.88,1.19,0.5,34.0,27.0
7,2006,9.08,12.95,8.16,-3.87,0.92,0.5,30.0,27.0
8,2007,6.15,8.63,4.53,-2.49,1.61,0.5,25.0,25.0
9,2008,-18.58,-22.19,-18.61,3.61,0.03,0.5,20.0,45.0
10,2009,23.07,21.77,20.77,1.29,2.3,0.5,52.0,31.0
11,2010,11.43,12.33,10.03,-0.9,1.4,0.5,34.0,27.0
12,2011,2.99,0.59,1.7,2.4,1.29,0.5,87.0,23.0
13,2012,10.42,12.04,9.4,-1.62,1.03,0.57,55.0,37.0
14,2013,8.46,14.31,7.23,-5.85,1.23,0.57,38.0,39.0
15,YTD,5.74,5.81,4.98,-0.07,0.76,0.47,30.0,30.0
