,Year,NMGIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,52.11,21.04,38.87,31.07,13.23,13.23,150.0,18.0
1,2000,-15.47,-9.1,-13.05,-6.36,-2.42,1.48,55.0,60.0
2,2001,-19.76,-11.89,-22.3,-7.88,2.54,1.35,1.35,43.0
3,2002,-15.29,-22.1,-27.64,6.81,12.36,1.39,1.39,3.0
4,2003,28.65,28.68,28.66,-0.03,-0.0,1.42,1.42,42.0
5,2004,15.39,10.88,7.81,4.51,7.58,1.37,1.37,4.0
6,2005,5.85,4.91,6.71,0.94,-0.86,1.3,1.3,53.0
7,2006,6.86,15.79,7.05,-8.94,-0.2,1.21,1.21,53.0
8,2007,13.98,5.49,13.35,8.49,0.63,1.22,1.22,43.0
9,2008,-42.03,-37.0,-40.67,-5.03,-1.36,1.2,1.2,64.0
10,2009,29.08,26.46,35.68,2.61,-6.61,1.24,21.0,76.0
11,2010,19.44,15.06,15.53,4.37,3.91,1.28,69.0,17.0
12,2011,-1.77,2.11,-2.46,-3.88,0.69,1.3,67.0,48.0
13,2012,12.29,16.0,15.34,-3.71,-3.05,1.28,65.0,82.0
14,2013,35.51,32.39,33.92,3.12,1.59,1.26,90.0,32.0
15,YTD,10.16,13.98,10.79,-3.81,-0.62,1.18,97.0,60.0
