,Year,NMPAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-0.92,-11.89,-3.12,10.97,2.2,2.2,69.0,37.0
1,2002,-15.01,-22.1,-16.55,7.09,1.53,0.35,45.0,45.0
2,2003,35.17,28.68,36.28,6.48,-1.12,0.35,15.0,43.0
3,2004,16.38,10.88,16.3,5.49,0.07,0.25,0.25,45.0
4,2005,12.45,4.91,9.25,7.54,3.2,0.14,18.0,18.0
5,2006,10.25,15.79,14.03,-5.54,-3.77,0.14,24.0,71.0
6,2007,7.95,5.49,4.85,2.46,3.1,0.14,18.0,29.0
7,2008,-36.11,-37.0,-39.18,0.89,3.08,0.14,26.0,29.0
8,2009,37.06,26.46,37.39,10.59,-0.33,0.14,28.0,34.0
9,2010,26.44,15.06,22.52,11.37,3.92,0.18,15.0,17.0
10,2011,-1.89,2.11,-3.81,-4.0,1.92,0.2,10.0,30.0
11,2012,17.56,16.0,16.15,1.56,1.41,0.2,15.0,36.0
12,2013,33.28,32.39,34.1,0.89,-0.82,0.2,20.0,55.0
13,YTD,8.65,13.98,7.43,-5.33,1.22,0.2,14.0,36.0
