,Year,NMSAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.27,21.04,19.95,-15.77,-14.68,-14.68,65.0,75.0
1,2000,9.2,-9.1,11.89,18.31,-2.69,0.75,53.0,62.0
2,2001,5.66,-11.89,8.92,17.55,-3.25,0.66,9.0,60.0
3,2002,-15.37,-22.1,-16.22,6.73,0.86,0.65,18.0,50.0
4,2003,37.94,28.68,43.41,9.25,-5.47,0.65,26.0,70.0
5,2004,22.08,10.88,18.94,11.2,3.14,0.56,0.56,22.0
6,2005,7.14,4.91,6.75,2.22,0.39,0.46,16.0,46.0
7,2006,14.62,15.79,15.03,-1.17,-0.41,0.46,20.0,54.0
8,2007,-0.66,5.49,-1.1,-6.15,0.44,0.45,15.0,39.0
9,2008,-31.0,-37.0,-36.56,6.0,5.56,0.45,24.0,15.0
10,2009,25.19,26.46,31.8,-1.27,-6.61,0.45,35.0,77.0
11,2010,25.71,15.06,25.61,10.64,0.1,0.45,14.0,50.0
12,2011,0.58,2.11,-4.07,-1.53,4.65,0.45,14.0,11.0
13,2012,15.96,16.0,15.46,-0.05,0.5,0.45,20.0,41.0
14,2013,40.6,32.39,37.39,8.21,3.21,0.45,17.0,24.0
15,YTD,2.37,13.98,1.83,-11.61,0.54,0.45,15.0,48.0
