,Year,NMTAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-18.64,-11.89,-22.3,-6.75,3.66,3.66,3.66,38.0
1,2002,-9.8,-22.1,-27.64,12.3,17.84,1.62,419.0,1.0
2,2003,48.56,28.68,28.66,19.88,19.9,1.71,308.0,3.0
3,2004,21.94,10.88,7.81,11.05,14.13,1.49,1.49,1.0
4,2005,7.98,4.91,6.71,3.07,1.26,1.4,130.0,35.0
5,2006,18.53,15.79,7.05,2.74,11.48,1.31,141.0,1.0
6,2007,19.88,5.49,13.35,14.39,6.53,1.26,86.0,18.0
7,2008,-44.63,-37.0,-40.67,-7.63,-3.96,1.2,113.0,83.0
8,2009,27.41,26.46,35.68,0.95,-8.27,1.25,152.0,81.0
9,2010,16.95,15.06,15.53,1.89,1.42,1.3,119.0,35.0
10,2011,-12.36,2.11,-2.46,-14.47,-9.9,1.31,87.0,97.0
11,2012,11.78,16.0,15.34,-4.22,-3.56,1.37,104.0,86.0
12,2013,42.07,32.39,33.92,9.69,8.15,1.35,65.0,7.0
13,YTD,8.99,13.98,10.79,-4.99,-1.8,1.23,99.0,74.0
