,Year,NSEPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.08,21.04,20.16,7.04,7.92,7.92,7.92,80.0
1,2000,-12.52,-9.1,-6.31,-3.42,-6.22,0.97,23.0,69.0
2,2001,-12.26,-11.89,-13.5,-0.37,1.24,0.94,56.0,25.0
3,2002,-27.43,-22.1,-22.25,-5.33,-5.18,1.94,71.0,49.0
4,2003,27.27,28.68,27.05,-1.41,0.23,0.94,15.0,48.0
5,2004,8.34,10.88,10.02,-2.55,-1.69,0.93,0.93,74.0
6,2005,6.22,4.91,5.88,1.3,0.34,0.87,0.87,42.0
7,2006,15.71,15.79,14.17,-0.08,1.54,0.78,0.78,22.0
8,2007,10.27,5.49,6.16,4.78,4.11,0.8,0.8,16.0
9,2008,-35.77,-37.0,-37.79,1.23,2.02,0.82,0.82,26.0
10,2009,24.38,26.46,28.17,-2.09,-3.79,0.9,156.0,72.0
11,2010,13.99,15.06,14.01,-1.08,-0.02,0.93,165.0,48.0
12,2011,-2.01,2.11,-1.27,-4.12,-0.74,0.95,171.0,61.0
13,2012,17.56,16.0,14.96,1.55,2.59,0.91,197.0,15.0
14,2013,30.91,32.39,31.5,-1.48,-0.59,0.93,147.0,63.0
15,YTD,11.73,13.98,11.28,-2.24,0.45,0.94,184.0,51.0
