,Year,NSMIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.43,-2.06,0.74,4.48,1.69,1.69,1.69,8.0
1,2000,5.74,11.68,5.87,-5.95,-0.13,0.4,90.0,50.0
2,2001,5.26,5.13,4.77,0.13,0.49,0.4,38.0,21.0
3,2002,4.81,9.6,5.39,-4.8,-0.58,0.4,12.0,65.0
4,2003,2.37,5.31,2.44,-2.94,-0.06,0.4,11.0,49.0
5,2004,1.3,4.48,1.19,-3.18,0.11,0.4,0.4,40.0
6,2005,1.35,3.51,1.21,-2.16,0.14,0.4,17.0,40.0
7,2006,3.12,4.84,2.95,-1.72,0.17,0.4,13.0,43.0
8,2007,4.25,3.36,3.31,0.89,0.95,0.4,98.0,10.0
9,2008,4.05,-2.47,0.86,6.53,3.19,0.4,73.0,5.0
10,2009,4.37,12.91,5.91,-8.54,-1.53,0.4,94.0,75.0
11,2010,1.0,2.38,1.61,-1.38,-0.61,0.47,62.0,75.0
12,2011,2.21,10.7,3.6,-8.49,-1.39,0.5,38.0,71.0
13,2012,1.37,6.78,1.92,-5.41,-0.55,0.47,2.0,66.0
14,2013,0.74,-2.55,-0.07,3.29,0.81,0.48,37.0,11.0
15,YTD,0.82,8.5,1.6,-7.68,-0.78,0.48,31.0,74.0
