,Year,NSTMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.22,-0.82,2.21,4.04,1.01,1.01,1.01,20.0
1,2000,7.17,11.63,7.59,-4.46,-0.43,0.5,62.0,70.0
2,2001,8.61,8.44,7.27,0.17,1.34,0.51,42.0,9.0
3,2002,5.3,10.26,5.47,-4.96,-0.17,0.52,80.0,55.0
4,2003,2.12,4.1,2.54,-1.98,-0.42,0.5,54.0,62.0
5,2004,1.39,4.34,1.63,-2.95,-0.24,0.47,0.47,53.0
6,2005,1.89,2.43,1.45,-0.54,0.44,0.48,128.0,24.0
7,2006,4.5,4.33,4.05,0.16,0.45,0.47,80.0,21.0
8,2007,5.56,6.97,4.29,-1.41,1.27,0.48,72.0,26.0
9,2008,-0.34,5.24,-4.23,-5.58,3.88,0.48,58.0,36.0
10,2009,9.59,5.93,9.3,3.66,0.28,0.48,58.0,46.0
11,2010,3.56,6.54,4.11,-2.98,-0.54,0.48,91.0,55.0
12,2011,1.47,7.84,1.66,-6.37,-0.19,0.48,83.0,51.0
13,2012,2.91,4.21,3.67,-1.31,-0.76,0.49,76.0,60.0
14,2013,0.49,-2.02,0.45,2.51,0.03,0.53,102.0,46.0
15,YTD,1.03,5.87,1.45,-4.83,-0.42,0.55,81.0,66.0
