,Year,NVABX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.01,-2.06,-2.66,1.05,1.65,1.65,1.65,96.0
1,2000,8.7,11.68,9.62,-2.98,-0.92,0.5,23.0,3.0
2,2001,4.98,5.13,4.37,-0.15,0.61,0.5,9.0,43.0
3,2002,7.78,9.6,8.12,-1.83,-0.34,0.5,10.0,7.0
4,2003,4.25,5.31,4.03,-1.06,0.22,0.5,7.0,3.0
5,2004,3.01,4.48,2.88,-1.47,0.13,0.5,0.5,1.0
6,2005,1.5,3.51,2.08,-2.01,-0.57,0.5,14.0,30.0
7,2006,3.93,4.84,3.77,-0.91,0.16,0.5,30.0,37.0
8,2007,3.7,3.36,2.05,0.34,1.64,0.5,22.0,12.0
9,2008,-0.28,-2.47,-2.81,2.19,2.53,0.5,12.0,31.0
10,2009,10.11,12.91,11.29,-2.81,-1.18,0.5,12.0,56.0
11,2010,2.53,2.38,1.65,0.15,0.88,0.53,12.0,15.0
12,2011,8.45,10.7,8.9,-2.25,-0.45,0.55,14.0,61.0
13,2012,4.09,6.78,4.75,-2.69,-0.66,0.54,0.54,65.0
14,2013,-2.15,-2.55,-2.82,0.41,0.67,0.55,11.0,27.0
15,YTD,5.89,8.5,6.39,-2.61,-0.5,0.56,2.0,50.0
