,Year,OARDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.04,21.04,20.16,-21.08,-20.2,1.6,62.0,76.0
1,2000,12.97,-9.1,-6.31,22.07,19.28,1.56,51.0,24.0
2,2001,-7.88,-11.89,-13.5,4.0,5.62,1.57,19.0,67.0
3,2002,-18.88,-22.1,-22.25,3.22,3.37,1.59,12.0,52.0
4,2003,27.02,28.68,27.05,-1.67,-0.03,1.51,1.51,57.0
5,2004,12.67,10.88,10.02,1.79,2.65,1.36,1.36,53.0
6,2005,5.97,4.91,5.88,1.06,0.09,1.24,129.0,45.0
7,2006,15.96,15.79,14.17,0.17,1.8,1.17,108.0,77.0
8,2007,12.73,5.49,6.16,7.24,6.57,1.13,189.0,9.0
9,2008,-31.28,-37.0,-37.79,5.71,6.51,1.13,49.0,8.0
10,2009,18.45,26.46,28.17,-8.02,-9.72,1.25,108.0,94.0
11,2010,13.13,15.06,14.01,-1.93,-0.88,1.16,99.0,62.0
12,2011,2.39,2.11,-1.27,0.27,3.66,1.09,36.0,16.0
13,2012,12.66,16.0,14.96,-3.34,-2.3,1.06,39.0,79.0
14,2013,27.36,32.39,31.5,-5.03,-4.14,1.03,87.0,84.0
15,YTD,11.48,13.98,11.28,-2.5,0.2,0.2,0.2,54.0
