,Year,ODMAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,82.29,30.63,70.56,51.67,11.74,11.74,37.0,23.0
1,2000,-5.26,-15.31,-30.33,10.05,25.08,1.96,22.0,1.0
2,2001,-5.73,-19.73,-3.83,14.0,-1.9,1.69,16.0,70.0
3,2002,-1.6,-14.95,-6.05,13.35,4.46,1.77,10.0,20.0
4,2003,65.24,40.83,55.19,24.41,10.04,1.76,6.0,15.0
5,2004,33.0,20.91,23.54,12.09,9.45,1.52,1.52,5.0
6,2005,41.23,16.62,31.54,24.61,9.69,1.43,28.0,6.0
7,2006,25.19,26.65,32.06,-1.47,-6.87,1.37,65.0,95.0
8,2007,33.86,16.65,36.68,17.2,-2.83,1.32,40.0,65.0
9,2008,-48.03,-45.53,-54.44,-2.5,6.41,1.27,51.0,14.0
10,2009,81.73,41.45,73.81,40.28,7.92,1.43,55.0,22.0
11,2010,26.98,11.15,19.26,15.83,7.72,1.35,33.0,9.0
12,2011,-18.1,-13.71,-19.86,-4.39,1.76,1.3,34.0,33.0
13,2012,20.85,16.83,18.15,4.02,2.7,1.36,20.0,23.0
14,2013,8.35,15.29,-0.14,-6.93,8.49,1.35,29.0,14.0
15,YTD,2.13,-0.27,1.96,2.4,0.17,1.31,26.0,47.0
