,Year,OGIAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.36,13.49,10.71,-5.14,-2.35,-2.35,14.0,63.0
1,2000,2.44,1.68,1.82,0.76,0.61,0.45,21.0,36.0
2,2001,-2.3,-2.46,-5.05,0.17,2.76,0.45,7.0,23.0
3,2002,-7.78,-6.69,-12.02,-1.09,4.24,0.48,20.0,15.0
4,2003,18.08,22.48,20.35,-4.4,-2.27,0.49,21.0,66.0
5,2004,8.37,11.48,8.86,-3.11,-0.49,0.46,0.46,58.0
6,2005,4.87,7.04,5.13,-2.18,-0.26,0.47,22.0,52.0
7,2006,10.17,12.95,11.29,-2.78,-1.12,0.47,17.0,72.0
8,2007,5.89,8.63,5.99,-2.74,-0.1,0.47,13.0,52.0
9,2008,-19.59,-22.19,-28.0,2.6,8.42,0.46,26.0,8.0
10,2009,23.09,21.77,24.13,1.31,-1.04,0.5,24.0,30.0
11,2010,9.93,12.33,11.83,-2.4,-1.9,0.5,12.0,83.0
12,2011,-0.19,0.59,-0.11,-0.78,-0.08,0.5,5.0,49.0
13,2012,11.06,12.04,11.72,-0.98,-0.66,0.5,9.0,69.0
14,2013,14.73,14.31,16.48,0.42,-1.75,0.5,19.0,71.0
15,YTD,6.8,5.81,6.95,0.99,-0.15,0.41,12.0,51.0
