,Year,OGNAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,3.73,4.34,2.72,-0.61,1.01,2.38,2.38,29.0
1,2005,4.57,2.43,2.88,2.14,1.69,1.5,198.0,34.0
2,2006,7.02,4.33,4.78,2.69,2.24,2.6,121.0,13.0
3,2007,-2.77,6.97,2.03,-9.73,-4.8,1.5,96.0,78.0
4,2008,-0.33,5.24,-0.33,-5.57,-0.0,1.51,116.0,34.0
5,2009,-0.3,5.93,-1.18,-6.23,0.88,1.5,175.0,38.0
6,2010,-4.58,6.54,-2.0,-11.12,-2.59,1.49,146.0,83.0
7,2011,-0.42,7.84,-0.3,-8.26,-0.12,1.95,339.0,59.0
8,2012,0.0,4.21,0.18,-4.21,-0.18,1.48,151.0,51.0
9,2013,4.09,-2.02,2.92,6.11,1.16,1.48,94.0,35.0
10,YTD,1.51,5.87,0.85,-4.36,0.66,1.49,227.0,42.0
