,Year,OHYAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.11,-0.82,5.05,3.93,-1.94,-1.94,-1.94,68.0
1,2000,-3.89,11.63,-7.12,-15.51,3.24,1.13,35.0,26.0
2,2001,5.08,8.44,2.39,-3.36,2.7,1.14,29.0,30.0
3,2002,-1.2,10.26,-1.52,-11.46,0.32,1.15,34.0,54.0
4,2003,25.61,4.1,24.36,21.5,1.25,1.14,52.0,38.0
5,2004,11.05,4.34,9.99,6.72,1.07,1.12,1.12,24.0
6,2005,2.68,2.43,2.59,0.25,0.09,1.12,68.0,45.0
7,2006,12.58,4.33,10.14,8.25,2.44,1.11,47.0,7.0
8,2007,1.92,6.97,1.47,-5.05,0.45,1.12,69.0,47.0
9,2008,-22.67,5.24,-26.41,-27.91,3.75,1.12,48.0,31.0
10,2009,48.04,5.93,46.7,42.11,1.34,1.15,18.0,47.0
11,2010,14.46,6.54,14.24,7.92,0.22,1.14,45.0,39.0
12,2011,2.26,7.84,2.83,-5.58,-0.57,1.14,45.0,69.0
13,2012,14.48,4.21,14.67,10.27,-0.19,1.15,41.0,54.0
14,2013,6.85,-2.02,6.9,8.88,-0.04,1.12,65.0,44.0
15,YTD,3.89,5.87,2.83,-1.97,1.07,1.04,54.0,24.0
