,Year,OIBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.01,-0.82,-2.86,11.83,13.87,13.87,285.0,3.0
1,2000,6.84,11.63,3.21,-4.78,3.63,1.31,288.0,29.0
2,2001,2.16,8.44,1.95,-6.28,0.21,1.38,377.0,42.0
3,2002,20.81,10.26,14.1,10.56,6.71,1.37,372.0,16.0
4,2003,25.87,4.1,13.79,21.76,12.07,1.22,341.0,3.0
5,2004,15.56,4.34,8.98,11.22,6.58,1.13,1.13,1.0
6,2005,3.29,2.43,-3.33,0.86,6.62,1.02,90.0,20.0
7,2006,8.65,4.33,5.42,4.31,3.23,0.97,144.0,8.0
8,2007,13.59,6.97,7.28,6.62,6.3,0.93,68.0,3.0
9,2008,-0.68,5.24,-1.57,-5.92,0.89,0.91,105.0,48.0
10,2009,13.07,5.93,13.12,7.14,-0.06,0.98,112.0,40.0
11,2010,7.87,6.54,6.35,1.33,1.52,0.98,146.0,26.0
12,2011,-0.28,7.84,3.39,-8.12,-3.67,0.98,80.0,88.0
13,2012,10.77,4.21,8.09,6.55,2.68,1.02,111.0,18.0
14,2013,-4.16,-2.02,-2.62,-2.14,-1.55,1.01,105.0,72.0
15,YTD,1.61,5.87,2.75,-4.26,-1.14,1.02,108.0,64.0
