,Year,OICAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.26,13.49,5.85,-9.23,-1.59,-1.59,10.0,59.0
1,2000,5.1,1.68,4.28,3.42,0.82,0.45,24.0,35.0
2,2001,1.17,-2.46,-0.39,3.64,1.56,0.45,8.0,31.0
3,2002,-2.28,-6.69,-3.11,4.41,0.83,0.48,9.0,40.0
4,2003,11.88,22.48,12.34,-10.6,-0.47,0.49,11.0,58.0
5,2004,5.97,11.48,5.46,-5.51,0.51,0.48,0.48,51.0
6,2005,3.61,7.04,2.97,-3.44,0.64,0.48,20.0,43.0
7,2006,7.53,12.95,8.16,-5.42,-0.63,0.5,18.0,59.0
8,2007,5.18,8.63,4.53,-3.45,0.65,0.5,12.0,43.0
9,2008,-12.28,-22.19,-18.61,9.91,6.33,0.5,27.0,17.0
10,2009,18.27,21.77,20.77,-3.51,-2.51,0.5,32.0,67.0
11,2010,8.37,12.33,10.03,-3.97,-1.67,0.5,11.0,78.0
12,2011,1.26,0.59,1.7,0.67,-0.44,0.5,3.0,59.0
13,2012,8.68,12.04,9.4,-3.37,-0.72,0.5,9.0,63.0
14,2013,8.84,14.31,7.23,-5.47,1.61,0.5,14.0,35.0
15,YTD,5.54,5.81,4.98,-0.27,0.56,0.41,20.0,34.0
