,Year,OMSOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,16.14,-11.89,-13.5,28.03,29.65,1.33,92.0,6.0
1,2002,-16.04,-22.1,-22.25,6.06,6.21,1.3,165.0,57.0
2,2003,40.56,28.68,27.05,11.87,13.51,1.23,165.0,26.0
3,2004,12.66,10.88,10.02,1.78,2.64,1.17,1.17,82.0
4,2005,6.84,4.91,5.88,1.93,0.96,1.11,107.0,34.0
5,2006,14.88,15.79,14.17,-0.92,0.71,1.08,107.0,41.0
6,2007,3.57,5.49,6.16,-1.93,-2.59,1.06,123.0,76.0
7,2008,-38.58,-37.0,-37.79,-1.58,-0.79,1.12,146.0,63.0
8,2009,31.88,26.46,28.17,5.42,3.71,1.24,124.0,22.0
9,2010,16.83,15.06,14.01,1.77,2.83,1.25,66.0,14.0
10,2011,-2.93,2.11,-1.27,-5.05,-1.66,1.22,58.0,69.0
11,2012,15.96,16.0,14.96,-0.04,1.0,1.24,37.0,35.0
12,2013,29.2,32.39,31.5,-3.19,-2.3,1.19,40.0,77.0
13,YTD,8.94,13.98,11.28,-5.04,-2.34,1.14,49.0,79.0
