,Year,ONGAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.73,13.49,20.12,2.23,-4.39,-4.39,15.0,71.0
1,2000,0.58,1.68,-1.68,-1.1,2.26,0.45,29.0,16.0
2,2001,-9.02,-2.46,-9.67,-6.55,0.65,0.45,7.0,15.0
3,2002,-18.69,-6.69,-14.51,-12.0,-4.18,0.48,29.0,16.0
4,2003,28.1,22.48,25.1,5.62,3.0,0.5,16.0,35.0
5,2004,11.72,11.48,10.93,0.24,0.78,0.5,0.5,25.0
6,2005,6.76,7.04,7.35,-0.28,-0.59,0.5,23.0,35.0
7,2006,14.59,12.95,13.07,1.63,1.52,0.5,26.0,46.0
8,2007,6.45,8.63,7.43,-2.18,-0.98,0.5,15.0,40.0
9,2008,-33.19,-22.19,-34.34,-11.0,1.14,0.5,25.0,14.0
10,2009,29.69,21.77,29.37,7.92,0.33,0.5,23.0,34.0
11,2010,12.58,12.33,13.49,0.25,-0.91,0.5,15.0,70.0
12,2011,-3.16,0.59,-3.8,-3.75,0.65,0.5,15.0,71.0
13,2012,15.2,12.04,13.42,3.15,1.78,0.5,6.0,52.0
14,2013,27.45,14.31,21.31,13.14,6.14,0.49,15.0,84.0
15,YTD,9.45,5.81,6.72,3.64,2.73,0.41,8.0,8.0
