,Year,ONGIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.6,13.49,10.71,-1.9,0.89,0.89,18.0,44.0
1,2000,1.22,1.68,1.82,-0.46,-0.6,0.45,22.0,42.0
2,2001,-5.68,-2.46,-5.05,-3.21,-0.62,0.45,6.0,56.0
3,2002,-13.7,-6.69,-12.02,-7.01,-1.68,0.48,25.0,68.0
4,2003,23.52,22.48,20.35,1.04,3.17,0.5,23.0,22.0
5,2004,10.31,11.48,8.86,-1.17,1.45,0.48,0.48,28.0
6,2005,5.52,7.04,5.13,-1.52,0.4,0.48,27.0,40.0
7,2006,12.53,12.95,11.29,-0.42,1.24,0.48,22.0,24.0
8,2007,6.23,8.63,5.99,-2.4,0.24,0.47,14.0,48.0
9,2008,-27.57,-22.19,-28.0,-5.38,0.43,0.47,25.0,45.0
10,2009,27.67,21.77,24.13,5.9,3.54,0.5,24.0,26.0
11,2010,11.6,12.33,11.83,-0.73,-0.23,0.5,14.0,57.0
12,2011,-1.5,0.59,-0.11,-2.09,-1.39,0.5,9.0,66.0
13,2012,13.36,12.04,11.72,1.31,1.64,0.5,11.0,23.0
14,2013,20.12,14.31,16.48,5.81,3.64,0.49,20.0,18.0
15,YTD,7.52,5.81,6.95,1.71,0.57,0.41,10.0,41.0
