,Year,ONIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.28,-0.82,-1.35,-0.46,0.06,0.06,0.06,49.0
1,2000,9.96,11.63,9.44,-1.67,0.52,0.88,25.0,53.0
2,2001,7.13,8.44,7.64,-1.31,-0.52,0.89,18.0,66.0
3,2002,8.03,10.26,8.04,-2.22,-0.0,0.89,23.0,61.0
4,2003,5.39,4.1,5.1,1.28,0.28,0.89,16.0,31.0
5,2004,4.29,4.34,3.91,-0.05,0.38,0.88,0.88,35.0
6,2005,2.48,2.43,1.8,0.05,0.67,0.9,20.0,15.0
7,2006,4.0,4.33,4.15,-0.33,-0.15,0.9,15.0,47.0
8,2007,5.79,6.97,4.7,-1.17,1.09,0.91,26.0,34.0
9,2008,-3.92,5.24,-4.7,-9.16,0.78,0.92,31.0,50.0
10,2009,15.85,5.93,13.97,9.92,1.88,0.92,17.0,32.0
11,2010,9.84,6.54,7.72,3.3,2.13,0.77,26.0,15.0
12,2011,6.64,7.84,5.86,-1.21,0.77,0.73,22.0,39.0
13,2012,6.97,4.21,7.01,2.76,-0.03,0.75,23.0,48.0
14,2013,0.07,-2.02,-1.42,2.09,1.49,0.73,25.0,12.0
15,YTD,6.12,5.87,5.34,0.25,0.77,0.75,25.0,23.0
