,Year,ONJAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-8.0,-2.06,-4.41,-5.94,-3.59,-3.59,70.0,95.0
1,2000,9.33,11.68,10.78,-2.35,-1.45,0.8,101.0,82.0
2,2001,4.0,5.13,4.05,-1.13,-0.05,0.67,27.0,54.0
3,2002,9.44,9.6,8.13,-0.17,1.3,0.63,26.0,16.0
4,2003,7.22,5.31,4.68,1.9,2.53,0.82,93.0,2.0
5,2004,8.53,4.48,3.55,4.05,4.98,0.78,0.78,1.0
6,2005,10.1,3.51,3.38,6.58,6.71,0.71,8.0,1.0
7,2006,7.76,4.84,4.65,2.91,3.1,0.84,19.0,2.0
8,2007,-4.73,3.36,1.43,-8.09,-6.16,0.82,18.0,96.0
9,2008,-34.2,-2.47,-8.16,-31.72,-26.04,0.84,31.0,96.0
10,2009,49.92,12.91,17.34,37.01,32.58,1.67,14.0,1.0
11,2010,3.72,2.38,1.38,1.34,2.34,0.99,17.0,1.0
12,2011,12.28,10.7,10.38,1.58,1.9,0.77,15.0,2.0
13,2012,11.3,6.78,8.37,4.52,2.93,0.74,18.0,7.0
14,2013,-10.1,-2.55,-5.14,-7.55,-4.97,0.74,24.0,94.0
15,YTD,15.45,8.5,9.39,6.95,6.06,0.83,30.0,2.0
