,Year,OOSAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,7.57,11.63,5.52,-4.06,2.04,0.87,62.0,12.0
1,2001,0.14,8.44,1.64,-8.31,-1.5,-1.5,47.0,74.0
2,2002,1.89,10.26,0.84,-8.36,1.05,1.22,92.0,21.0
3,2003,11.18,4.1,10.43,7.08,0.75,1.19,9.0,30.0
4,2004,7.2,4.34,5.12,2.86,2.08,0.99,0.99,11.0
5,2005,5.64,2.43,4.58,3.21,1.06,0.89,114.0,11.0
6,2006,7.11,4.33,6.57,2.78,0.54,0.97,104.0,14.0
7,2007,1.52,6.97,1.09,-5.45,0.43,0.97,105.0,30.0
8,2008,-29.48,5.24,-29.72,-34.72,0.24,1.05,50.0,41.0
9,2009,43.51,5.93,41.81,37.58,1.7,1.07,51.0,40.0
10,2010,13.15,6.54,9.44,6.6,3.7,1.42,67.0,2.0
11,2011,2.37,7.84,1.63,-5.47,0.73,1.0,52.0,21.0
12,2012,8.44,4.21,9.43,4.22,-1.0,1.05,54.0,66.0
13,2013,6.41,-2.02,5.68,8.44,0.73,1.0,68.0,20.0
14,YTD,1.91,5.87,1.88,-3.95,0.04,0.97,57.0,48.0
