,Year,OPATX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.16,-2.06,-4.22,-4.1,-1.93,-1.93,-1.93,91.0
1,2000,7.01,11.68,10.33,-4.68,-3.32,1.1,98.0,98.0
2,2001,6.51,5.13,4.6,1.38,1.91,0.87,58.0,5.0
3,2002,10.95,9.6,8.48,1.34,2.47,0.85,39.0,2.0
4,2003,9.81,5.31,4.82,4.49,4.98,0.86,33.0,2.0
5,2004,7.06,4.48,3.43,2.58,3.63,0.86,0.86,1.0
6,2005,8.97,3.51,3.05,5.46,5.92,0.81,30.0,1.0
7,2006,7.6,4.84,4.4,2.75,3.2,0.82,19.0,1.0
8,2007,-2.33,3.36,1.67,-5.69,-4.0,0.74,4.0,97.0
9,2008,-33.95,-2.47,-7.76,-31.47,-26.19,0.81,51.0,97.0
10,2009,48.44,12.91,16.61,35.53,31.83,1.6,30.0,1.0
11,2010,4.79,2.38,1.48,2.41,3.31,0.95,17.0,1.0
12,2011,11.3,10.7,9.84,0.6,1.46,0.7,16.0,16.0
13,2012,12.51,6.78,7.47,5.73,5.04,0.69,15.0,2.0
14,2013,-9.79,-2.55,-4.62,-7.24,-5.17,0.68,10.0,96.0
15,YTD,14.67,8.5,9.46,6.17,5.21,0.76,6.0,2.0
