,Year,OPCAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.53,-2.06,-4.6,-4.47,-1.93,-1.93,-1.93,89.0
1,2000,12.67,11.68,12.79,0.99,-0.11,0.91,48.0,53.0
2,2001,3.66,5.13,3.84,-1.46,-0.17,0.87,20.0,50.0
3,2002,8.44,9.6,8.03,-1.16,0.41,0.86,27.0,36.0
4,2003,5.56,5.31,4.27,0.25,1.29,0.96,63.0,2.0
5,2004,8.43,4.48,4.37,3.95,4.06,0.97,0.97,1.0
6,2005,10.97,3.51,3.93,7.45,7.04,0.92,15.0,1.0
7,2006,7.69,4.84,4.58,2.85,3.11,0.92,43.0,1.0
8,2007,-7.42,3.36,0.71,-10.78,-8.13,1.29,11.0,96.0
9,2008,-41.31,-2.47,-11.05,-38.84,-30.26,0.86,45.0,98.0
10,2009,49.26,12.91,17.38,36.34,31.87,1.88,32.0,1.0
11,2010,2.81,2.38,1.77,0.43,1.04,0.74,23.0,20.0
12,2011,13.31,10.7,11.74,2.61,1.57,0.75,27.0,9.0
13,2012,18.38,6.78,10.42,11.6,7.96,0.74,10.0,4.0
14,2013,-5.99,-2.55,-3.71,-3.44,-2.28,0.73,24.0,97.0
15,YTD,14.05,8.5,11.21,5.55,2.84,0.8,17.0,4.0
