,Year,OPGVX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.25,-0.82,1.49,3.08,0.77,0.77,141.0,33.0
1,2000,7.34,11.63,8.3,-4.29,-0.96,0.86,121.0,74.0
2,2001,6.95,8.44,7.26,-1.49,-0.31,0.85,97.0,61.0
3,2002,6.03,10.26,6.85,-4.23,-0.83,0.88,161.0,66.0
4,2003,1.29,4.1,1.45,-2.82,-0.17,0.88,82.0,56.0
5,2004,1.62,4.34,1.46,-2.72,0.16,0.79,0.79,33.0
6,2005,1.53,2.43,1.26,-0.9,0.27,0.7,101.0,33.0
7,2006,4.37,4.33,3.67,0.04,0.7,0.7,109.0,11.0
8,2007,5.25,6.97,5.87,-1.72,-0.62,0.7,88.0,75.0
9,2008,-6.34,5.24,4.8,-11.58,-11.14,0.7,51.0,97.0
10,2009,8.35,5.93,3.29,2.42,5.06,0.7,59.0,3.0
11,2010,5.53,6.54,3.04,-1.02,2.48,0.7,61.0,9.0
12,2011,1.55,7.84,2.09,-6.29,-0.54,0.77,87.0,54.0
13,2012,2.54,4.21,1.06,-1.67,1.48,0.8,152.0,5.0
14,2013,-0.46,-2.02,-0.79,1.56,0.33,0.8,154.0,43.0
15,YTD,1.43,5.87,1.2,-4.43,0.24,0.8,229.0,35.0
