,Year,OPITX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.43,-2.06,-3.71,-1.37,0.28,0.28,0.28,36.0
1,2000,7.09,11.68,5.54,-4.59,1.55,0.94,74.0,19.0
2,2001,3.7,5.13,5.41,-1.42,-1.7,0.94,32.0,83.0
3,2002,7.82,9.6,6.29,-1.78,1.53,0.89,100.0,23.0
4,2003,8.05,5.31,7.01,2.74,1.04,1.0,78.0,17.0
5,2004,7.3,4.48,6.57,2.82,0.73,0.96,0.96,19.0
6,2005,6.95,3.51,6.35,3.43,0.6,0.92,29.0,23.0
7,2006,5.46,4.84,7.14,0.62,-1.69,0.89,19.0,91.0
8,2007,0.34,3.36,-3.31,-3.02,3.64,0.9,16.0,4.0
9,2008,-14.43,-2.47,-25.27,-11.96,10.84,1.14,49.0,1.0
10,2009,21.41,12.91,30.89,8.5,-9.48,1.13,28.0,95.0
11,2010,3.7,2.38,3.77,1.32,-0.07,0.7,20.0,52.0
12,2011,8.52,10.7,10.18,-2.18,-1.66,0.73,21.0,85.0
13,2012,7.47,6.78,13.82,0.69,-6.35,0.72,19.0,98.0
14,2013,-4.38,-2.55,-5.99,-1.83,1.61,0.73,23.0,12.0
15,YTD,6.6,8.5,12.88,-1.9,-6.28,0.76,15.0,98.0
