,Year,OPMSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,10.15,-9.1,6.36,19.26,3.8,1.5,108.0,19.0
1,2001,12.93,-11.89,-3.12,24.81,16.04,1.28,181.0,6.0
2,2002,-15.98,-22.1,-16.55,6.12,0.57,1.36,117.0,54.0
3,2003,46.49,28.68,36.28,17.8,10.21,1.36,117.0,28.0
4,2004,19.18,10.88,16.3,8.29,2.87,1.17,1.17,47.0
5,2005,10.0,4.91,9.25,5.09,0.75,1.19,132.0,21.0
6,2006,14.64,15.79,14.03,-1.15,0.61,1.15,102.0,53.0
7,2007,-1.55,5.49,4.85,-7.04,-6.4,1.12,114.0,47.0
8,2008,-38.28,-37.0,-39.18,-1.29,0.9,1.19,134.0,67.0
9,2009,36.95,26.46,37.39,10.49,-0.44,1.22,95.0,23.0
10,2010,23.15,15.06,22.52,8.08,0.63,1.25,101.0,72.0
11,2011,-2.65,2.11,-3.81,-4.76,1.16,1.24,86.0,42.0
12,2012,16.77,16.0,16.15,0.77,0.62,1.24,81.0,30.0
13,2013,33.4,32.39,34.1,1.01,-0.71,1.19,101.0,54.0
14,YTD,12.63,13.98,7.43,-1.35,5.2,1.12,63.0,9.0
