,Year,OPNYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.45,-2.06,-4.71,-2.39,0.26,0.88,18.0,40.0
1,2000,11.3,11.68,11.93,-0.38,-0.63,0.89,26.0,62.0
2,2001,4.47,5.13,3.83,-0.66,0.63,0.84,10.0,12.0
3,2002,6.44,9.6,8.91,-3.17,-2.47,0.89,73.0,92.0
4,2003,6.96,5.31,4.96,1.64,2.0,0.93,63.0,6.0
5,2004,4.38,4.48,3.69,-0.1,0.69,0.88,0.88,17.0
6,2005,8.08,3.51,3.25,4.56,4.83,0.93,14.0,3.0
7,2006,8.76,4.84,4.77,3.91,3.99,0.9,36.0,1.0
8,2007,-2.04,3.36,1.5,-5.4,-3.54,0.82,26.0,95.0
9,2008,-29.02,-2.47,-9.21,-26.54,-19.8,0.82,34.0,93.0
10,2009,41.43,12.91,18.31,28.52,23.12,1.42,22.0,5.0
11,2010,2.44,2.38,1.7,0.06,0.74,0.75,16.0,16.0
12,2011,13.08,10.7,9.85,2.38,3.23,0.77,21.0,1.0
13,2012,13.67,6.78,8.18,6.89,5.48,0.74,14.0,1.0
14,2013,-10.65,-2.55,-5.32,-8.09,-5.32,0.75,15.0,93.0
15,YTD,13.35,8.5,9.94,4.85,3.42,3.42,10.0,9.0
