,Year,OPPEX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.25,13.49,5.85,-19.74,-12.09,-12.09,40.0,97.0
1,2000,16.82,1.68,4.28,15.14,12.54,0.93,37.0,4.0
2,2001,-0.19,-2.46,-0.39,2.28,0.2,0.91,74.0,16.0
3,2002,-16.16,-6.69,-3.11,-9.46,-13.04,0.98,148.0,84.0
4,2003,33.47,22.48,12.34,10.99,21.13,0.93,141.0,2.0
5,2004,10.28,11.48,5.46,-1.2,4.82,0.89,0.89,29.0
6,2005,2.43,7.04,2.97,-4.61,-0.54,0.89,55.0,88.0
7,2006,15.16,12.95,8.16,2.21,7.0,0.91,66.0,7.0
8,2007,-1.85,8.63,4.53,-10.48,-6.38,0.88,66.0,96.0
9,2008,-37.05,-22.19,-18.61,-14.85,-18.44,0.91,68.0,94.0
10,2009,18.1,21.77,20.77,-3.67,-2.67,0.94,92.0,68.0
11,2010,11.63,12.33,10.03,-0.7,1.6,0.9,77.0,24.0
12,2011,4.21,0.59,1.7,3.61,2.5,0.96,92.0,13.0
13,2012,11.09,12.04,9.4,-0.96,1.69,0.96,80.0,27.0
14,2013,9.19,14.31,7.23,-5.11,1.96,0.93,84.0,32.0
15,YTD,5.16,5.81,4.98,-0.64,0.18,0.98,93.0,43.0
