,Year,OPTAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.08,-2.06,-3.71,-3.02,-1.36,-1.36,18.0,66.0
1,2000,7.92,11.68,5.54,-3.76,2.38,0.9,14.0,10.0
2,2001,2.35,5.13,5.41,-2.77,-3.05,0.85,20.0,98.0
3,2002,8.04,9.6,6.29,-1.57,1.75,0.85,31.0,19.0
4,2003,7.67,5.31,7.01,2.36,0.66,0.88,99.0,22.0
5,2004,8.69,4.48,6.57,4.21,2.11,0.92,0.92,12.0
6,2005,7.83,3.51,6.35,4.32,1.48,0.92,31.0,8.0
7,2006,7.4,4.84,7.14,2.56,0.26,0.87,20.0,34.0
8,2007,-9.11,3.36,-3.31,-12.47,-5.8,1.37,18.0,94.0
9,2008,-41.59,-2.47,-25.27,-39.11,-16.32,0.91,60.0,95.0
10,2009,42.68,12.91,30.89,29.77,11.79,1.68,23.0,7.0
11,2010,0.3,2.38,3.77,-2.08,-3.48,0.94,21.0,98.0
12,2011,16.4,10.7,10.18,5.7,6.22,0.74,30.0,1.0
13,2012,18.97,6.78,13.82,12.19,5.15,0.77,21.0,7.0
14,2013,-6.66,-2.55,-5.99,-4.1,-0.67,0.74,13.0,68.0
15,YTD,14.49,8.5,12.88,5.98,1.61,0.82,10.0,30.0
