,Year,OSMAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,66.22,30.63,83.28,35.59,-17.06,-17.06,280.0,54.0
1,2000,-34.55,-15.31,-15.12,-19.23,-19.43,1.74,199.0,96.0
2,2001,-18.6,-19.73,-24.44,1.13,5.84,1.58,145.0,22.0
3,2002,-8.17,-14.95,-15.43,6.77,7.26,1.88,62.0,19.0
4,2003,85.05,40.83,54.17,44.22,30.88,1.6,53.0,1.0
5,2004,29.88,20.91,24.38,8.97,5.5,1.34,1.34,20.0
6,2005,33.67,16.62,24.86,17.05,8.81,1.31,51.0,6.0
7,2006,36.53,26.65,26.79,9.88,9.75,1.2,35.0,7.0
8,2007,21.43,16.65,12.03,4.77,9.4,1.13,57.0,14.0
9,2008,-65.97,-45.53,-49.02,-20.45,-16.95,1.14,67.0,97.0
10,2009,121.67,41.45,49.24,80.22,72.44,1.41,111.0,1.0
11,2010,37.19,11.15,23.04,26.04,14.15,1.28,107.0,1.0
12,2011,-20.44,-13.71,-14.72,-6.74,-5.73,1.22,122.0,94.0
13,2012,22.65,16.83,22.2,5.82,0.45,1.29,46.0,40.0
14,2013,44.86,15.29,26.61,29.58,18.26,1.24,25.0,3.0
15,YTD,0.98,-0.27,-3.86,1.25,4.84,1.19,18.0,12.0
