,Year,OSTAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.84,-2.06,0.74,2.89,0.1,0.1,0.1,48.0
1,2000,5.48,11.68,5.87,-6.2,-0.39,-0.39,114.0,63.0
2,2001,4.85,5.13,4.77,-0.28,0.08,0.8,89.0,50.0
3,2002,5.35,9.6,5.39,-4.25,-0.04,0.8,94.0,53.0
4,2003,2.7,5.31,2.44,-2.61,0.26,0.8,110.0,36.0
5,2004,1.24,4.48,1.19,-3.24,0.05,0.8,0.8,44.0
6,2005,1.02,3.51,1.21,-2.49,-0.19,0.8,41.0,59.0
7,2006,2.88,4.84,2.95,-1.96,-0.08,0.8,13.0,60.0
8,2007,3.67,3.36,3.31,0.31,0.36,0.8,24.0,45.0
9,2008,2.5,-2.47,0.86,4.97,1.64,0.8,43.0,48.0
10,2009,4.88,12.91,5.91,-8.03,-1.03,0.8,40.0,69.0
11,2010,0.81,2.38,1.61,-1.57,-0.8,0.75,22.0,81.0
12,2011,2.7,10.7,3.6,-8.0,-0.9,0.74,42.0,64.0
13,2012,0.79,6.78,1.92,-5.99,-1.13,0.75,43.0,84.0
14,2013,-0.26,-2.55,-0.07,2.29,-0.19,0.74,33.0,73.0
15,YTD,1.36,8.5,1.6,-7.14,-0.24,0.74,39.0,51.0
