,Year,OSVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,39.67,28.68,28.44,10.98,11.23,11.23,11.23,5.0
1,2004,16.5,10.88,12.97,5.62,3.53,1.5,1.5,15.0
2,2005,9.12,4.91,5.95,4.2,3.16,1.33,85.0,20.0
3,2006,20.46,15.79,18.15,4.66,2.31,1.3,79.0,20.0
4,2007,4.01,5.49,1.42,-1.49,2.58,1.2,107.0,30.0
5,2008,-46.94,-37.0,-37.09,-9.94,-9.85,1.16,138.0,95.0
6,2009,41.22,26.46,24.13,14.75,17.09,1.27,194.0,5.0
7,2010,19.34,15.06,13.66,4.28,5.68,1.35,120.0,5.0
8,2011,-10.84,2.11,-0.75,-12.95,-10.09,1.31,125.0,98.0
9,2012,11.68,16.0,14.57,-4.32,-2.89,1.33,101.0,82.0
10,2013,23.45,32.39,31.21,-8.94,-7.76,1.35,140.0,94.0
11,YTD,6.06,13.98,10.25,-7.92,-4.19,1.26,73.0,94.0
