,Year,OUSGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.67,-0.82,2.21,0.15,-2.88,-2.88,199.0,40.0
1,2000,10.33,11.63,7.59,-1.29,2.74,1.12,181.0,43.0
2,2001,6.93,8.44,7.27,-1.52,-0.34,0.91,215.0,72.0
3,2002,10.68,10.26,5.47,0.42,5.21,1.06,121.0,6.0
4,2003,1.83,4.1,2.54,-2.28,-0.71,1.01,72.0,96.0
5,2004,4.39,4.34,1.63,0.05,2.76,0.98,0.98,30.0
6,2005,2.13,2.43,1.45,-0.3,0.68,0.9,95.0,31.0
7,2006,3.93,4.33,4.05,-0.4,-0.12,0.9,74.0,52.0
8,2007,6.63,6.97,4.29,-0.34,2.34,0.9,65.0,34.0
9,2008,-2.41,5.24,-4.23,-7.65,1.82,0.9,56.0,86.0
10,2009,7.26,5.93,9.3,1.33,-2.05,0.9,109.0,24.0
11,2010,8.27,6.54,4.11,1.73,4.17,0.9,56.0,7.0
12,2011,7.46,7.84,1.66,-0.38,5.8,0.9,57.0,27.0
13,2012,3.89,4.21,3.67,-0.32,0.22,0.9,143.0,13.0
14,2013,0.23,-2.02,0.45,2.25,-0.23,0.9,162.0,58.0
15,YTD,1.98,5.87,1.45,-3.88,0.53,0.85,147.0,20.0
