,Year,PAAIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,15.98,22.48,18.15,-6.5,-2.17,0.19,101.0,87.0
1,2004,11.85,11.48,8.16,0.37,3.68,0.23,99.0,13.0
2,2005,6.48,7.04,5.05,-0.57,1.42,0.21,92.0,24.0
3,2006,5.27,12.95,9.91,-7.68,-4.64,0.25,56.0,97.0
4,2007,8.68,8.63,6.85,0.04,1.83,0.24,86.0,19.0
5,2008,-15.48,-22.19,-23.59,6.72,8.11,0.26,96.0,3.0
6,2009,22.99,21.77,20.3,1.22,2.7,0.2,89.0,58.0
7,2010,13.68,12.33,10.53,1.35,3.15,0.23,78.0,18.0
8,2011,2.44,0.59,-3.36,1.85,5.81,0.16,77.0,13.0
9,2012,15.44,12.04,9.45,3.4,6.0,0.15,56.0,11.0
10,2013,0.77,14.31,8.62,-13.54,-7.86,0.12,36.0,82.0
11,YTD,3.9,5.81,3.73,-1.91,0.17,0.07,54.0,47.0
