,Year,PACIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.76,13.49,29.21,13.26,-2.46,-2.46,66.0,57.0
1,2000,14.86,1.68,2.52,13.19,12.34,1.24,73.0,4.0
2,2001,-7.9,-2.46,-6.57,-5.44,-1.33,1.24,73.0,56.0
3,2002,-9.63,-6.69,-7.77,-2.94,-1.86,1.25,50.0,81.0
4,2003,25.95,22.48,26.24,3.47,-0.29,1.22,57.0,47.0
5,2004,10.85,11.48,9.03,-0.63,1.81,1.19,1.19,26.0
6,2005,3.22,7.04,3.59,-3.82,-0.36,1.16,37.0,40.0
7,2006,9.73,12.95,10.72,-3.22,-0.99,1.09,40.0,66.0
8,2007,6.39,8.63,7.51,-2.24,-1.12,1.16,44.0,61.0
9,2008,-33.44,-22.19,-33.38,-11.25,-0.06,1.18,77.0,53.0
10,2009,33.17,21.77,40.58,11.39,-7.41,1.21,92.0,84.0
11,2010,19.05,12.33,16.77,6.72,2.28,1.2,117.0,26.0
12,2011,-5.03,0.59,-5.62,-5.62,0.59,1.15,118.0,41.0
13,2012,13.05,12.04,10.92,1.0,2.12,1.12,66.0,30.0
14,2013,24.05,14.31,21.66,9.74,2.39,1.15,71.0,35.0
15,YTD,9.48,5.81,7.39,3.67,2.09,1.12,76.0,18.0
