,Year,PAEMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.1,-0.82,29.58,26.92,-3.48,-3.48,315.0,65.0
1,2000,14.12,11.63,12.68,2.49,1.44,1.29,328.0,37.0
2,2001,27.61,8.44,12.83,19.17,14.78,1.26,902.0,13.0
3,2002,12.37,10.26,12.69,2.11,-0.32,1.25,617.0,53.0
4,2003,32.01,4.1,30.83,27.9,1.18,1.27,388.0,26.0
5,2004,11.78,4.34,12.31,7.44,-0.53,1.25,1.25,66.0
6,2005,11.28,2.43,11.5,8.85,-0.21,1.25,415.0,54.0
7,2006,9.33,4.33,10.99,5.0,-1.66,1.25,280.0,84.0
8,2007,5.2,6.97,5.36,-1.77,-0.16,1.25,238.0,43.0
9,2008,-14.34,5.24,-17.64,-19.58,3.3,1.25,148.0,38.0
10,2009,30.02,5.93,32.43,24.09,-2.4,1.25,220.0,56.0
11,2010,12.59,6.54,12.34,6.05,0.25,1.25,185.0,54.0
12,2011,6.28,7.84,1.98,-1.56,4.3,1.25,100.0,16.0
13,2012,16.34,4.21,17.95,12.13,-1.6,1.25,12.0,74.0
14,2013,-6.97,-2.02,-7.27,-4.95,0.3,1.25,38.0,45.0
15,YTD,5.65,5.87,3.43,-0.21,2.22,1.25,28.0,32.0
