,Year,PAIIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.12,-0.82,-2.86,0.7,2.74,2.74,236.0,27.0
1,2000,8.77,11.63,3.21,-2.85,5.56,0.98,290.0,19.0
2,2001,10.39,8.44,1.95,1.94,8.43,0.98,422.0,4.0
3,2002,8.85,10.26,14.1,-1.4,-5.25,0.95,373.0,74.0
4,2003,3.52,4.1,13.79,-0.59,-10.28,0.97,413.0,88.0
5,2004,5.68,4.34,8.98,1.34,-3.29,0.96,0.96,81.0
6,2005,4.56,2.43,-3.33,2.14,7.89,0.95,245.0,11.0
7,2006,2.53,4.33,5.42,-1.8,-2.89,0.95,372.0,86.0
8,2007,4.58,6.97,7.28,-2.39,-2.71,0.95,581.0,79.0
9,2008,-2.74,5.24,-1.57,-7.98,-1.16,0.95,775.0,64.0
10,2009,14.84,5.93,13.12,8.91,1.72,0.95,653.0,36.0
11,2010,8.1,6.54,6.35,1.56,1.75,0.95,401.0,23.0
12,2011,8.2,7.84,3.39,0.36,4.8,0.95,232.0,6.0
13,2012,9.15,4.21,8.09,4.94,1.06,0.9,348.0,27.0
14,2013,-1.16,-2.02,-2.62,0.87,1.46,0.9,361.0,31.0
15,YTD,8.5,5.87,2.75,2.63,5.75,0.9,181.0,4.0
