,Year,PAUIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,11.89,11.48,8.16,0.41,3.72,0.82,116.0,16.0
1,2005,6.72,7.04,5.05,-0.32,1.67,0.76,171.0,28.0
2,2006,3.09,12.95,9.91,-9.86,-6.82,0.3,62.0,87.0
3,2007,9.99,8.63,6.85,1.35,3.14,0.27,128.0,9.0
4,2008,-6.93,-22.19,-23.59,15.26,16.65,0.4,116.0,11.0
5,2009,19.35,21.77,20.3,-2.43,-0.95,0.25,117.0,56.0
6,2010,10.67,12.33,10.53,-1.67,0.14,0.25,45.0,60.0
7,2011,3.01,0.59,-3.36,2.41,6.37,0.25,68.0,16.0
8,2012,17.66,12.04,9.45,5.62,8.22,0.22,55.0,1.0
9,2013,-5.47,14.31,8.62,-19.78,-14.09,0.21,18.0,91.0
10,YTD,1.38,5.81,3.73,-4.42,-2.35,0.18,65.0,79.0
