,Year,PBDIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,7.87,8.44,7.64,-0.57,0.23,0.3,84.0,42.0
1,2002,9.36,10.26,8.04,-0.89,1.33,0.3,140.0,27.0
2,2003,4.14,4.1,5.1,0.03,-0.97,0.3,0.3,54.0
3,2004,3.86,4.34,3.91,-0.48,-0.06,0.3,0.3,53.0
4,2005,2.19,2.43,1.8,-0.24,0.39,0.3,98.0,27.0
5,2006,3.87,4.33,4.15,-0.46,-0.28,0.3,72.0,56.0
6,2007,6.77,6.97,4.7,-0.2,2.06,0.3,74.0,12.0
7,2008,5.44,5.24,-4.7,0.2,10.13,0.3,66.0,8.0
8,2009,6.63,5.93,13.97,0.7,-7.34,0.3,26.0,86.0
9,2010,6.35,6.54,7.72,-0.19,-1.37,0.3,34.0,75.0
10,2011,7.42,7.84,5.86,-0.42,1.56,0.3,113.0,17.0
11,2012,4.41,4.21,7.01,0.19,-2.6,0.3,132.0,81.0
12,2013,-2.18,-2.02,-1.42,-0.16,-0.76,0.3,75.0,69.0
13,YTD,6.14,5.87,5.34,0.28,0.8,0.8,0.8,23.0
