,Year,PCBAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.95,13.49,10.05,-0.54,2.9,2.9,136.0,35.0
1,2000,8.59,1.68,3.91,6.91,4.68,1.29,123.0,15.0
2,2001,4.15,-2.46,-5.38,6.61,9.53,1.44,181.0,6.0
3,2002,-15.74,-6.69,-9.7,-9.05,-6.04,1.4,186.0,81.0
4,2003,25.4,22.48,18.15,2.92,7.25,1.42,181.0,12.0
5,2004,11.07,11.48,8.16,-0.41,2.9,1.45,1.45,18.0
6,2005,6.08,7.04,5.05,-0.97,1.02,1.25,90.0,31.0
7,2006,9.98,12.95,9.91,-2.97,0.07,1.23,139.0,74.0
8,2007,9.26,8.63,6.85,0.62,2.41,1.21,93.0,15.0
9,2008,-26.9,-22.19,-23.59,-4.71,-3.32,1.24,391.0,38.0
10,2009,26.43,21.77,20.3,4.65,6.13,1.26,354.0,35.0
11,2010,13.74,12.33,10.53,1.41,3.21,1.2,400.0,17.0
12,2011,-3.52,0.59,-3.36,-4.11,-0.15,1.19,401.0,90.0
13,2012,11.97,12.04,9.45,-0.08,2.52,1.19,324.0,52.0
14,2013,11.49,14.31,8.62,-2.81,2.87,1.14,192.0,90.0
15,YTD,2.31,5.81,3.73,-3.5,-1.42,1.13,181.0,73.0
