,Year,PCRIX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,29.82,24.73,24.73,5.09,5.09,0.74,492.0,49.0
1,2004,16.36,17.63,17.63,-1.27,-1.27,0.74,290.0,89.0
2,2005,20.5,25.54,25.54,-5.04,-5.04,0.74,264.0,84.0
3,2006,-3.04,-0.23,-0.23,-2.81,-2.81,0.74,292.0,87.0
4,2007,23.8,31.76,31.76,-7.96,-7.96,0.74,603.0,90.0
5,2008,-43.33,-33.77,-33.77,-9.57,-9.57,0.74,697.0,12.0
6,2009,39.92,20.91,22.93,19.01,16.98,0.74,979.0,3.0
7,2010,24.13,23.62,16.03,0.51,8.1,0.74,397.0,4.0
8,2011,-7.56,-5.32,-8.05,-2.25,0.48,0.74,198.0,40.0
9,2012,5.31,3.66,-0.79,1.65,6.1,0.74,177.0,1.0
10,2013,-14.81,-3.75,-9.08,-11.06,-5.73,0.74,57.0,86.0
11,YTD,-9.28,-15.33,-11.72,6.05,2.44,0.74,49.0,18.0
