,Year,PDMIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.86,-0.82,-1.35,3.68,4.2,0.51,198.0,15.0
1,2000,11.6,11.63,10.86,-0.03,0.74,0.74,952.0,3.0
2,2001,12.09,8.44,6.81,3.64,5.28,0.5,808.0,1.0
3,2002,9.08,10.26,9.23,-1.18,-0.15,0.5,1292.0,7.0
4,2003,3.34,4.1,1.9,-0.76,1.44,0.5,763.0,3.0
5,2004,4.13,4.34,3.01,-0.21,1.12,0.52,0.52,11.0
6,2005,3.21,2.43,1.91,0.78,1.3,0.5,1209.0,3.0
7,2006,5.06,4.33,3.47,0.73,1.59,0.5,0.5,3.0
8,2007,7.46,6.97,6.09,0.49,1.37,0.5,1009.0,14.0
9,2008,5.29,5.24,4.76,0.05,0.53,0.5,839.0,57.0
10,2009,9.75,5.93,4.74,3.82,5.01,0.5,1652.0,12.0
11,2010,7.96,6.54,5.66,1.42,2.31,0.5,1747.0,9.0
12,2011,8.41,7.84,6.7,0.57,1.71,0.5,1990.0,11.0
13,2012,3.01,4.21,2.8,-1.21,0.21,0.5,2397.0,34.0
14,2013,-2.37,-2.02,-2.72,-0.34,0.35,0.5,1502.0,37.0
15,YTD,6.11,5.87,4.77,0.24,1.34,0.5,1212.0,6.0
