,Year,PDVAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,8.91,4.34,8.38,4.57,0.53,1.2,44.0,38.0
1,2005,5.47,2.43,2.12,3.04,3.36,1.17,44.0,3.0
2,2006,7.19,4.33,6.9,2.86,0.29,1.15,128.0,44.0
3,2007,3.56,6.97,4.45,-3.4,-0.88,1.15,190.0,70.0
4,2008,-13.69,5.24,-15.41,-18.93,1.73,1.15,234.0,43.0
5,2009,31.05,5.93,29.22,25.12,1.83,1.15,244.0,35.0
6,2010,13.81,6.54,10.86,7.27,2.96,1.15,259.0,19.0
7,2011,4.0,7.84,3.37,-3.84,0.63,1.15,95.0,39.0
8,2012,14.52,4.21,11.71,10.31,2.81,1.15,65.0,15.0
9,2013,-1.3,-2.02,1.87,0.72,-3.17,1.15,184.0,88.0
10,YTD,4.84,5.87,4.67,-1.02,0.18,1.15,80.0,37.0
