,Year,PETAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,41.58,14.72,32.02,26.86,9.56,1.24,1.24,4.0
1,2005,12.12,9.49,11.51,2.64,0.61,1.24,510.0,52.0
2,2006,26.8,20.07,33.58,6.73,-6.78,1.21,337.0,91.0
3,2007,-12.43,9.04,-14.66,-21.46,2.24,1.19,538.0,26.0
4,2008,-47.29,-40.71,-39.55,-6.58,-7.74,1.19,900.0,94.0
5,2009,53.42,29.99,31.26,23.44,22.16,1.19,1288.0,5.0
6,2010,38.86,11.76,27.08,27.1,11.78,1.19,863.0,2.0
7,2011,25.46,-5.54,7.51,31.0,17.94,1.19,344.0,2.0
8,2012,28.19,15.83,17.6,12.37,10.59,1.14,287.0,3.0
9,2013,-13.2,26.68,1.55,-39.88,-14.75,1.14,71.0,98.0
10,YTD,37.69,6.66,25.93,31.04,11.76,1.14,81.0,2.0
