,Year,PEXMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.72,21.04,20.92,12.68,12.8,0.4,23.0,21.0
1,2000,-15.58,-9.1,6.36,-6.47,-21.93,0.4,31.0,92.0
2,2001,-9.55,-11.89,-3.12,2.34,-6.43,0.4,31.0,72.0
3,2002,-18.12,-22.1,-16.55,3.98,-1.57,0.4,21.0,64.0
4,2003,42.85,28.68,36.28,14.17,6.57,0.4,0.4,18.0
5,2004,18.38,10.88,16.3,7.5,2.08,0.4,0.4,26.0
6,2005,9.95,4.91,9.25,5.04,0.7,0.4,17.0,46.0
7,2006,15.76,15.79,14.03,-0.04,1.73,0.4,18.0,29.0
8,2007,4.07,5.49,4.85,-1.43,-0.78,0.4,38.0,58.0
9,2008,-38.5,-37.0,-39.18,-1.5,0.69,0.4,20.0,49.0
10,2009,36.69,26.46,37.39,10.22,-0.7,0.4,18.0,37.0
11,2010,27.45,15.06,22.52,12.39,4.93,0.4,14.0,11.0
12,2011,-3.61,2.11,-3.81,-5.73,0.2,0.4,19.0,53.0
13,2012,18.97,16.0,16.15,2.97,2.82,0.4,18.0,21.0
14,2013,38.37,32.39,34.1,5.98,4.27,0.4,22.0,19.0
15,YTD,6.55,13.98,7.43,-7.42,-0.88,-0.88,-0.88,67.0
