,Year,PFCIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,-0.77,1.68,2.52,-2.45,-3.29,0.65,247.0,55.0
1,2001,-13.78,-2.46,-6.57,-11.31,-7.2,0.67,225.0,87.0
2,2002,-7.26,-6.69,-7.77,-0.56,0.51,0.65,307.0,52.0
3,2003,31.95,22.48,26.24,9.48,5.71,0.65,187.0,15.0
4,2004,8.47,11.48,9.03,-3.01,-0.56,0.66,0.66,51.0
5,2005,0.55,7.04,3.59,-6.5,-3.04,0.66,118.0,90.0
6,2006,13.25,12.95,10.72,0.29,2.52,0.65,71.0,18.0
7,2007,7.65,8.63,7.51,-0.98,0.14,0.65,78.0,40.0
8,2008,-34.74,-22.19,-33.38,-12.55,-1.36,0.65,149.0,67.0
9,2009,45.02,21.77,40.58,23.25,4.44,0.65,98.0,19.0
10,2010,17.94,12.33,16.77,5.61,1.17,0.65,203.0,44.0
11,2011,-2.72,0.59,-5.62,-3.31,2.9,0.65,43.0,9.0
12,2012,8.8,12.04,10.92,-3.25,-2.13,0.65,147.0,73.0
13,2013,18.19,14.31,21.66,3.89,-3.47,0.65,71.0,82.0
14,YTD,14.82,5.81,7.39,9.01,7.44,0.65,103.0,1.0
