,Year,PFIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,4.98,2.43,4.36,2.55,0.62,0.95,18.0,16.0
1,2006,8.6,4.33,6.08,4.27,2.53,0.95,83.0,5.0
2,2007,0.19,6.97,1.97,-6.77,-1.78,0.95,138.0,76.0
3,2008,-25.01,5.24,-16.76,-30.25,-8.26,0.95,111.0,92.0
4,2009,34.26,5.93,19.0,28.33,15.27,0.95,245.0,12.0
5,2010,6.57,6.54,5.44,0.03,1.13,0.95,318.0,35.0
6,2011,-5.04,7.84,-1.29,-12.88,-3.75,0.95,40.0,90.0
7,2012,12.8,4.21,7.5,8.59,5.3,0.95,43.0,12.0
8,2013,2.75,-2.02,0.29,4.78,2.46,0.95,106.0,27.0
9,YTD,0.21,5.87,1.86,-5.66,-1.66,0.95,59.0,76.0
