,Year,PFORX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.57,-0.82,-2.86,2.39,4.43,4.43,376.0,16.0
1,2000,9.86,11.63,3.21,-1.77,6.64,0.5,330.0,9.0
2,2001,8.96,8.44,1.95,0.52,7.01,0.54,417.0,7.0
3,2002,7.67,10.26,14.1,-2.58,-6.43,0.5,434.0,79.0
4,2003,3.56,4.1,13.79,-0.54,-10.23,0.5,589.0,87.0
5,2004,6.65,4.34,8.98,2.31,-2.32,0.5,0.5,71.0
6,2005,5.72,2.43,-3.33,3.29,9.04,0.5,477.0,5.0
7,2006,2.94,4.33,5.42,-1.39,-2.48,0.5,571.0,84.0
8,2007,3.97,6.97,7.28,-2.99,-3.31,0.5,653.0,83.0
9,2008,-2.4,5.24,-1.57,-7.64,-0.82,0.5,969.0,61.0
10,2009,19.01,5.93,13.12,13.08,5.89,0.5,779.0,18.0
11,2010,9.18,6.54,6.35,2.64,2.83,0.5,411.0,18.0
12,2011,6.77,7.84,3.39,-1.07,3.38,0.5,236.0,11.0
13,2012,11.18,4.21,8.09,6.97,3.09,0.5,355.0,16.0
14,2013,0.9,-2.02,-2.62,2.92,3.51,0.5,383.0,12.0
15,YTD,9.83,5.87,2.75,3.96,7.08,0.5,175.0,1.0
