,Year,PGOVX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-7.99,-0.82,-8.24,-7.17,0.25,0.25,364.0,39.0
1,2000,20.38,11.63,17.06,8.75,3.32,0.5,320.0,25.0
2,2001,5.51,8.44,4.1,-2.93,1.41,0.5,1046.0,40.0
3,2002,18.87,10.26,13.86,8.62,5.01,0.5,527.0,25.0
4,2003,3.71,4.1,1.75,-0.4,1.96,0.5,427.0,14.0
5,2004,7.25,4.34,7.39,2.92,-0.14,0.51,0.51,53.0
6,2005,4.88,2.43,6.06,2.45,-1.18,0.5,321.0,65.0
7,2006,1.16,4.33,0.15,-3.17,1.02,0.48,788.0,47.0
8,2007,9.2,6.97,9.76,2.23,-0.57,0.48,971.0,69.0
9,2008,13.6,5.24,27.67,8.36,-14.06,0.48,291.0,78.0
10,2009,-2.08,5.93,-17.51,-8.01,15.43,0.48,367.0,7.0
11,2010,12.09,6.54,11.65,5.54,0.43,0.48,415.0,25.0
12,2011,28.08,7.84,32.9,20.24,-4.82,0.47,363.0,67.0
13,2012,5.05,4.21,3.87,0.83,1.18,0.47,426.0,13.0
14,2013,-12.72,-2.02,-13.34,-10.7,0.62,0.47,143.0,22.0
15,YTD,21.5,5.87,19.07,15.63,2.44,0.47,100.0,38.0
