,Year,PHIYX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.82,-0.82,5.05,3.64,-2.23,-2.23,39.0,70.0
1,2000,-0.44,11.63,-7.12,-12.07,6.68,0.5,39.0,12.0
2,2001,4.99,8.44,2.39,-3.45,2.61,0.5,53.0,32.0
3,2002,-0.85,10.26,-1.52,-11.11,0.66,0.5,96.0,51.0
4,2003,23.7,4.1,24.36,19.59,-0.66,0.5,129.0,53.0
5,2004,9.45,4.34,9.99,5.11,-0.54,0.5,0.5,59.0
6,2005,4.63,2.43,2.59,2.2,2.03,0.5,62.0,6.0
7,2006,9.44,4.33,10.14,5.11,-0.7,0.5,105.0,65.0
8,2007,3.73,6.97,1.47,-3.24,2.26,0.5,75.0,8.0
9,2008,-23.69,5.24,-26.41,-28.93,2.72,0.5,187.0,38.0
10,2009,44.05,5.93,46.7,38.12,-2.65,0.52,354.0,63.0
11,2010,14.24,6.54,14.24,7.7,-0.0,0.55,129.0,45.0
12,2011,4.0,7.84,2.83,-3.84,1.17,0.55,36.0,38.0
13,2012,14.55,4.21,14.67,10.34,-0.12,0.55,50.0,52.0
14,2013,5.77,-2.02,6.9,7.8,-1.12,0.55,39.0,68.0
15,YTD,4.39,5.87,2.83,-1.48,1.56,0.55,25.0,13.0
