,Year,PIEQX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-21.36,-19.73,-21.67,-1.63,0.31,0.5,58.0,45.0
1,2002,-15.37,-14.95,-16.69,-0.42,1.32,0.5,49.0,34.0
2,2003,38.08,40.83,33.58,-2.75,4.5,0.5,0.5,19.0
3,2004,19.18,20.91,17.39,-1.72,1.8,0.5,0.5,27.0
4,2005,13.38,16.62,14.72,-3.24,-1.34,0.5,53.0,62.0
5,2006,26.33,26.65,24.77,-0.32,1.57,0.5,36.0,30.0
6,2007,11.78,16.65,12.71,-4.87,-0.93,0.5,31.0,55.0
7,2008,-42.56,-45.53,-43.99,2.97,1.43,0.5,30.0,35.0
8,2009,30.42,41.45,31.24,-11.02,-0.82,0.5,23.0,49.0
9,2010,8.84,11.15,10.24,-2.31,-1.4,0.5,13.0,63.0
10,2011,-12.52,-13.71,-13.97,1.18,1.44,0.5,30.0,31.0
11,2012,18.96,16.83,18.29,2.13,0.67,0.5,9.0,34.0
12,2013,20.07,15.29,19.44,4.78,0.63,0.5,12.0,48.0
13,YTD,-2.07,-0.27,-1.63,-1.8,-0.44,-0.44,-0.44,54.0
