,Year,PIGIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,9.07,8.44,9.11,0.63,-0.04,0.5,240.0,45.0
1,2002,11.46,10.26,8.86,1.2,2.6,0.5,512.0,23.0
2,2003,10.38,4.1,9.34,6.27,1.03,0.5,681.0,38.0
3,2004,6.02,4.34,5.79,1.68,0.23,0.51,0.51,40.0
4,2005,2.53,2.43,1.94,0.1,0.59,0.5,57.0,14.0
5,2006,4.18,4.33,4.36,-0.16,-0.19,0.5,168.0,56.0
6,2007,7.15,6.97,4.17,0.18,2.98,0.5,98.0,4.0
7,2008,1.89,5.24,-7.9,-3.35,9.8,0.5,115.0,7.0
8,2009,18.74,5.93,22.61,12.81,-3.87,0.5,348.0,71.0
9,2010,11.72,6.54,10.0,5.18,1.72,0.5,248.0,11.0
10,2011,6.86,7.84,7.46,-0.98,-0.6,0.5,325.0,45.0
11,2012,14.99,4.21,11.06,10.78,3.93,0.5,124.0,8.0
12,2013,-1.69,-2.02,-1.06,0.33,-0.63,0.5,165.0,74.0
13,YTD,9.71,5.87,7.18,3.84,2.53,0.5,88.0,9.0
