,Year,PIGLX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.28,-0.82,-2.86,-3.46,-1.42,-1.42,143.0,50.0
1,2000,0.43,11.63,3.21,-11.2,-2.78,0.55,301.0,66.0
2,2001,2.48,8.44,1.95,-5.96,0.53,0.55,416.0,99.0
3,2002,21.33,10.26,14.1,11.08,7.23,0.56,355.0,1.0
4,2003,16.59,4.1,13.79,12.48,2.8,0.56,485.0,1.0
5,2004,11.57,4.34,8.98,7.23,2.59,0.56,0.56,18.0
6,2005,-6.36,2.43,-3.33,-8.78,-3.03,0.55,278.0,67.0
7,2006,5.85,4.33,5.42,1.51,0.43,0.55,551.0,41.0
8,2007,9.26,6.97,7.28,2.29,1.97,0.55,543.0,33.0
9,2008,-2.68,5.24,-1.57,-7.92,-1.11,0.55,776.0,64.0
10,2009,17.17,5.93,13.12,11.24,4.05,0.55,693.0,30.0
11,2010,11.24,6.54,6.35,4.69,4.89,0.55,462.0,10.0
12,2011,9.2,7.84,3.39,1.35,5.8,0.55,310.0,1.0
13,2012,7.42,4.21,8.09,3.21,-0.67,0.55,267.0,48.0
14,2013,-5.04,-2.02,-2.62,-3.02,-2.43,0.55,285.0,80.0
15,YTD,2.64,5.87,2.75,-3.22,-0.1,0.55,161.0,46.0
