,Year,PIPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,13.59,20.91,17.39,-7.31,-3.79,1.35,1.35,89.0
1,2005,26.38,16.62,14.72,9.76,11.65,1.35,666.0,2.0
2,2006,17.35,26.65,24.77,-9.31,-7.42,1.28,682.0,98.0
3,2007,5.06,16.65,12.71,-11.59,-7.65,1.22,696.0,94.0
4,2008,-40.57,-45.53,-43.99,4.96,3.42,1.18,908.0,13.0
5,2009,46.32,41.45,31.24,4.87,15.08,1.15,1001.0,5.0
6,2010,14.98,11.15,10.24,3.83,4.74,1.15,1196.0,10.0
7,2011,-10.85,-13.71,-13.97,2.86,3.11,1.15,1051.0,15.0
8,2012,27.69,16.83,18.29,10.86,9.4,1.15,896.0,4.0
9,2013,21.89,15.29,19.44,6.61,2.46,1.15,510.0,25.0
10,YTD,7.72,-0.27,-1.63,7.99,9.35,1.15,733.0,1.0
