,Year,PLDIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.73,-0.82,2.21,3.55,0.52,0.52,167.0,39.0
1,2000,7.42,11.63,7.59,-4.21,-0.18,0.5,87.0,61.0
2,2001,8.18,8.44,7.27,-0.27,0.9,0.5,419.0,20.0
3,2002,8.04,10.26,5.47,-2.22,2.57,0.5,598.0,10.0
4,2003,2.54,4.1,2.54,-1.57,-0.0,0.5,230.0,44.0
5,2004,2.12,4.34,1.63,-2.22,0.49,0.52,0.52,25.0
6,2005,1.6,2.43,1.45,-0.82,0.16,0.5,390.0,39.0
7,2006,3.75,4.33,4.05,-0.59,-0.3,0.5,46.0,66.0
8,2007,7.78,6.97,4.29,0.82,3.49,0.5,101.0,2.0
9,2008,-2.37,5.24,-4.23,-7.61,1.86,0.5,105.0,52.0
10,2009,11.62,5.93,9.3,5.69,2.32,0.5,143.0,35.0
11,2010,5.38,6.54,4.11,-1.16,1.28,0.5,555.0,18.0
12,2011,2.38,7.84,1.66,-5.46,0.72,0.5,460.0,23.0
13,2012,6.0,4.21,3.67,1.78,2.33,0.5,496.0,12.0
14,2013,0.24,-2.02,0.45,2.27,-0.21,0.5,515.0,56.0
15,YTD,1.4,5.87,1.45,-4.47,-0.05,0.5,383.0,45.0
