,Year,PLDTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.55,-0.82,2.21,3.37,0.34,0.34,0.34,45.0
1,2000,8.09,11.63,7.59,-3.53,0.5,0.5,117.0,36.0
2,2001,8.12,8.44,7.27,-0.33,0.84,0.5,383.0,21.0
3,2002,7.1,10.26,5.47,-3.16,1.63,0.5,582.0,21.0
4,2003,1.84,4.1,2.54,-2.26,-0.7,0.5,293.0,73.0
5,2004,1.9,4.34,1.63,-2.44,0.27,0.5,234.0,33.0
6,2005,1.56,2.43,1.45,-0.86,0.11,0.5,308.0,42.0
7,2006,3.47,4.33,4.05,-0.86,-0.58,0.5,93.0,80.0
8,2007,7.3,6.97,4.29,0.34,3.01,0.5,147.0,3.0
9,2008,-0.06,5.24,-4.23,-5.3,4.16,0.5,50.0,33.0
10,2009,10.26,5.93,9.3,4.33,0.96,0.5,112.0,43.0
11,2010,3.56,6.54,4.11,-2.98,-0.54,0.5,598.0,54.0
12,2011,2.15,7.84,1.66,-5.69,0.49,0.5,718.0,28.0
13,2012,4.44,4.21,3.67,0.22,0.77,0.5,1022.0,32.0
14,2013,0.04,-2.02,0.45,2.06,-0.42,0.5,647.0,65.0
15,YTD,1.1,5.87,1.45,-4.76,-0.35,0.5,355.0,63.0
