,Year,PMBIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.07,-0.82,-1.35,-0.25,0.28,0.28,0.28,42.0
1,2000,11.79,11.63,9.44,0.16,2.35,0.5,142.0,10.0
2,2001,9.66,8.44,7.64,1.22,2.02,0.51,600.0,8.0
3,2002,9.92,10.26,8.04,-0.34,1.88,0.5,473.0,15.0
4,2003,4.88,4.1,5.1,0.77,-0.22,0.5,222.0,39.0
5,2004,4.22,4.34,3.91,-0.12,0.3,0.5,262.0,39.0
6,2005,2.09,2.43,1.8,-0.34,0.28,0.5,330.0,34.0
7,2006,3.9,4.33,4.15,-0.44,-0.25,0.5,354.0,54.0
8,2007,8.37,6.97,4.7,1.4,3.66,0.5,237.0,3.0
9,2008,5.12,5.24,-4.7,-0.12,9.81,0.5,265.0,10.0
10,2009,13.62,5.93,13.97,7.69,-0.36,0.5,278.0,46.0
11,2010,7.73,6.54,7.72,1.19,0.02,0.5,502.0,43.0
12,2011,4.5,7.84,5.86,-3.34,-1.36,0.5,563.0,84.0
13,2012,8.17,4.21,7.01,3.96,1.16,0.5,647.0,31.0
14,2013,-2.17,-2.02,-1.42,-0.15,-0.75,0.5,374.0,68.0
15,YTD,4.55,5.87,5.34,-1.32,-0.8,0.5,353.0,81.0
