,Year,PMHIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,40.53,28.68,8.46,11.85,32.07,32.07,32.07,32.07
1,2004,13.91,10.88,5.06,3.02,8.84,8.84,8.84,8.84
2,2005,13.27,4.91,4.77,8.36,8.5,8.5,8.5,8.5
3,2006,18.74,15.79,7.23,2.95,11.51,11.51,11.51,11.51
4,2007,26.62,5.49,4.42,21.12,22.2,22.2,22.2,22.2
5,2008,-4.54,-37.0,-15.4,32.45,10.85,10.85,10.85,10.85
6,2009,21.3,26.46,10.46,-5.17,10.83,10.83,10.83,10.83
7,2010,6.28,15.06,4.13,-8.78,2.15,2.15,2.15,2.15
8,2011,-5.6,2.11,-2.81,-7.72,-2.79,-2.79,-2.79,-2.79
9,2012,0.26,16.0,5.15,-15.74,-4.89,1.4,113.0,113.0
10,2013,34.52,32.39,14.62,2.14,19.91,1.4,528.0,1.0
11,YTD,-1.68,13.98,2.95,-15.65,-4.62,1.48,522.0,84.0
