,Year,POMIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.25,21.04,20.16,2.21,3.09,0.4,3.0,28.0
1,2000,-10.33,-9.1,-6.31,-1.23,-4.03,0.4,8.0,73.0
2,2001,-11.2,-11.89,-13.5,0.68,2.3,0.4,9.0,29.0
3,2002,-21.16,-22.1,-22.25,0.94,1.09,0.4,6.0,31.0
4,2003,31.02,28.68,27.05,2.34,3.98,0.4,0.4,13.0
5,2004,12.22,10.88,10.02,1.34,2.2,0.4,0.4,20.0
6,2005,6.23,4.91,5.88,1.32,0.35,0.4,5.0,42.0
7,2006,15.49,15.79,14.17,-0.3,1.33,0.4,4.0,28.0
8,2007,5.25,5.49,6.16,-0.25,-0.91,0.4,9.0,54.0
9,2008,-37.16,-37.0,-37.79,-0.16,0.64,0.4,6.0,41.0
10,2009,28.76,26.46,28.17,2.3,0.59,0.4,9.0,40.0
11,2010,16.8,15.06,14.01,1.74,2.79,0.4,8.0,14.0
12,2011,0.61,2.11,-1.27,-1.51,1.88,0.4,6.0,36.0
13,2012,16.32,16.0,14.96,0.31,1.35,0.4,5.0,29.0
14,2013,33.7,32.39,31.5,1.31,2.2,0.37,6.0,29.0
15,YTD,12.32,13.98,11.28,-1.66,1.04,1.04,1.04,45.0
