,Year,PRAIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,23.36,10.26,14.81,13.11,8.55,0.75,0.75,3.0
1,2003,13.01,4.1,7.15,8.91,5.87,0.68,157.0,4.0
2,2004,12.94,4.34,7.48,8.61,5.47,0.66,0.66,7.0
3,2005,5.07,2.43,2.09,2.64,2.98,0.62,519.0,62.0
4,2006,-2.67,4.33,0.09,-7.01,-2.77,0.6,265.0,80.0
5,2007,11.49,6.97,9.86,4.53,1.63,0.6,489.0,8.0
6,2008,-6.06,5.24,-4.08,-11.3,-1.98,0.6,874.0,100.0
7,2009,16.43,5.93,10.88,10.5,5.55,0.57,936.0,9.0
8,2010,11.09,6.54,5.94,4.55,5.15,0.55,467.0,2.0
9,2011,22.06,7.84,10.93,14.22,11.13,0.55,335.0,1.0
10,2012,13.69,4.21,6.45,9.48,7.24,0.55,239.0,1.0
11,2013,-16.51,-2.02,-7.85,-14.48,-8.65,0.55,97.0,99.0
12,YTD,12.11,5.87,3.23,6.25,8.88,0.55,123.0,1.0
